,Date,Apple,Blackrock,Disney,Ford,GE,Google,JPMorgan
32,1.24E+12,9.848910888,3.001202798,1.304509697,0.157568359,0.383275952,3.442968637,0.996347754
33,1.23561E+12,9.63607287,2.863892681,1.266937194,0.155216468,0.387104507,3.404994916,1.056871674
34,1.23569E+12,9.649037137,2.752168335,1.260174132,0.15679223,0.362006241,3.360544777,1.047701346
35,1.23578E+12,9.649037137,2.752168335,1.260174132,0.15679223,0.362006241,3.368617717,1.047701346
36,1.23587E+12,9.649037137,2.752168335,1.260174132,0.15679223,0.362006241,3.368617717,1.047701346
37,1.24E+12,9.501022928,2.624524054,1.206069782,0.147376855,0.323295353,3.368617717,0.970212436
38,1.23604E+12,9.54748014,2.57477403,1.229364693,0.141889132,0.298197107,3.260679326,0.963334647
39,1.23612E+12,9.84999152,2.738806863,1.272948788,0.146592895,0.284584485,3.243935169,0.884928684
40,1.23621E+12,9.598258239,2.62111258,1.201561052,0.141889132,0.283308313,3.178554149,0.761129695
41,1.2363E+12,9.215796698,2.649210392,1.189537863,0.133265559,0.300324066,3.0461965,0.730413845
42,1.24E+12,9.215796698,2.649210392,1.189537863,0.133265559,0.300324066,3.075398631,0.730413845
43,1.23647E+12,9.215796698,2.649210392,1.189537863,0.133265559,0.300324066,3.075398631,0.730413845
44,1.23656E+12,8.979189765,2.606203683,1.171510604,0.1364014,0.315212881,3.075398631,0.729033722
45,1.23664E+12,9.575300399,2.881449423,1.248150943,0.145024974,0.37732042,2.899188818,0.894103555
46,1.23673E+12,10.01313208,3.019354679,1.246648009,0.153648548,0.361155434,3.071412953,0.935365306
47,1.24E+12,10.40963851,3.188227674,1.309769824,0.164624003,0.407098009,3.168488065,1.063749372
48,1.2369E+12,10.36426193,3.096482963,1.28722638,0.171679647,0.409224988,3.224498308,1.088972278
49,1.23699E+12,10.36426193,3.096482963,1.28722638,0.171679647,0.409224988,3.233370572,1.088972278
50,1.23708E+12,10.36426193,3.096482963,1.28722638,0.171679647,0.409224988,3.233370572,1.088972278
51,1.23716E+12,10.30916132,2.978931337,1.293237974,0.164624003,0.410926564,3.233370572,1.058705682
